route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
51ca957840814c24a8d449c91217e23a,166533,1088675,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166533,1088677,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166533,1088681,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166533,1088683,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166533,1088685,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166533,1088687,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088692,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088694,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088696,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088698,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088700,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088702,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088704,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088706,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088708,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088710,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088712,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088714,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088716,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088718,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088720,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088722,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088724,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088726,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166534,1088728,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166531,1088869,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166533,1088872,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166533,1088873,Priisle,Majaka põik - Priisle,B>A,11038,1
51ca957840814c24a8d449c91217e23a,166530,1088552,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088554,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088556,Majaka põik,Priisle - Majaka põik,A>B,9345,1
