fare_id,route_id,origin_id,destination_id
5,748cb45a7228434ca9ff97c559f6f340,93571,25989
1,748cb45a7228434ca9ff97c559f6f340,106879,26619
1,748cb45a7228434ca9ff97c559f6f340,116556,31912
1,748cb45a7228434ca9ff97c559f6f340,30631,31922
1,748cb45a7228434ca9ff97c559f6f340,25192,152904
7,748cb45a7228434ca9ff97c559f6f340,32339,21842
7,748cb45a7228434ca9ff97c559f6f340,32329,21834
5,748cb45a7228434ca9ff97c559f6f340,93571,32268
1,748cb45a7228434ca9ff97c559f6f340,24783,152904
26,748cb45a7228434ca9ff97c559f6f340,21832,30631
37,748cb45a7228434ca9ff97c559f6f340,32495,106881
21,748cb45a7228434ca9ff97c559f6f340,32692,32175
11,748cb45a7228434ca9ff97c559f6f340,93570,25823
36,748cb45a7228434ca9ff97c559f6f340,154360,24783
1,748cb45a7228434ca9ff97c559f6f340,30606,26279
6,748cb45a7228434ca9ff97c559f6f340,21834,25192
3,748cb45a7228434ca9ff97c559f6f340,21830,152904
17,748cb45a7228434ca9ff97c559f6f340,21832,31922
7,748cb45a7228434ca9ff97c559f6f340,32495,139934
10,748cb45a7228434ca9ff97c559f6f340,31912,25192
34,748cb45a7228434ca9ff97c559f6f340,25786,26279
32,748cb45a7228434ca9ff97c559f6f340,21832,25786
8,748cb45a7228434ca9ff97c559f6f340,30633,30606
34,748cb45a7228434ca9ff97c559f6f340,106880,25823
16,748cb45a7228434ca9ff97c559f6f340,31912,25044
1,748cb45a7228434ca9ff97c559f6f340,25044,116144
34,748cb45a7228434ca9ff97c559f6f340,30631,25994
12,748cb45a7228434ca9ff97c559f6f340,24957,139934
2,748cb45a7228434ca9ff97c559f6f340,30119,106881
12,748cb45a7228434ca9ff97c559f6f340,32329,114421
21,748cb45a7228434ca9ff97c559f6f340,21834,25044
1,748cb45a7228434ca9ff97c559f6f340,21832,106879
31,748cb45a7228434ca9ff97c559f6f340,32339,25823
9,748cb45a7228434ca9ff97c559f6f340,21832,116556
24,748cb45a7228434ca9ff97c559f6f340,24957,106881
1,748cb45a7228434ca9ff97c559f6f340,30119,139934
28,748cb45a7228434ca9ff97c559f6f340,21832,25994
27,748cb45a7228434ca9ff97c559f6f340,93570,21842
1,748cb45a7228434ca9ff97c559f6f340,31922,25994
17,748cb45a7228434ca9ff97c559f6f340,24964,24783
31,748cb45a7228434ca9ff97c559f6f340,106878,24783
34,748cb45a7228434ca9ff97c559f6f340,32692,32339
22,748cb45a7228434ca9ff97c559f6f340,26619,25044
13,748cb45a7228434ca9ff97c559f6f340,32339,30633
31,748cb45a7228434ca9ff97c559f6f340,32692,106880
1,748cb45a7228434ca9ff97c559f6f340,93571,24957
1,748cb45a7228434ca9ff97c559f6f340,114421,30119
2,748cb45a7228434ca9ff97c559f6f340,32175,25783
4,748cb45a7228434ca9ff97c559f6f340,32678,25783
33,748cb45a7228434ca9ff97c559f6f340,31912,25994
28,748cb45a7228434ca9ff97c559f6f340,114421,26279
34,748cb45a7228434ca9ff97c559f6f340,21830,106881
21,748cb45a7228434ca9ff97c559f6f340,114421,26619
13,748cb45a7228434ca9ff97c559f6f340,32692,24964
10,748cb45a7228434ca9ff97c559f6f340,32272,30633
2,748cb45a7228434ca9ff97c559f6f340,93571,21834
32,748cb45a7228434ca9ff97c559f6f340,21842,32268
34,748cb45a7228434ca9ff97c559f6f340,25823,24783
1,748cb45a7228434ca9ff97c559f6f340,21830,139934
17,748cb45a7228434ca9ff97c559f6f340,21834,25994
30,748cb45a7228434ca9ff97c559f6f340,26619,25786
5,748cb45a7228434ca9ff97c559f6f340,32329,32268
32,748cb45a7228434ca9ff97c559f6f340,114421,31912
5,748cb45a7228434ca9ff97c559f6f340,32329,25989
5,748cb45a7228434ca9ff97c559f6f340,32495,152904
39,748cb45a7228434ca9ff97c559f6f340,93571,31912
24,748cb45a7228434ca9ff97c559f6f340,26619,30606
1,748cb45a7228434ca9ff97c559f6f340,114421,21834
33,748cb45a7228434ca9ff97c559f6f340,106880,152904
8,748cb45a7228434ca9ff97c559f6f340,21842,25989
31,748cb45a7228434ca9ff97c559f6f340,116556,25989
2,748cb45a7228434ca9ff97c559f6f340,32678,32175
35,748cb45a7228434ca9ff97c559f6f340,21832,25044
16,748cb45a7228434ca9ff97c559f6f340,21830,21842
1,748cb45a7228434ca9ff97c559f6f340,31912,25786
14,748cb45a7228434ca9ff97c559f6f340,154360,106879
1,748cb45a7228434ca9ff97c559f6f340,21834,106879
2,748cb45a7228434ca9ff97c559f6f340,25786,32268
24,748cb45a7228434ca9ff97c559f6f340,154360,116556
1,748cb45a7228434ca9ff97c559f6f340,21834,116556
20,748cb45a7228434ca9ff97c559f6f340,30633,25044
32,748cb45a7228434ca9ff97c559f6f340,31912,30606
22,748cb45a7228434ca9ff97c559f6f340,25786,25989
